product_id,sku,price,quantity
2101,W0001.Z3.DIW.01,2070.09,3
2102,W0001.Z3.DIW.02,3052.86,3
2103,W0004.Z3.DIW.01,4749.03,3
2104,W0007.Z3.DIW.01,2885.58,3
2106,W0009.Z3.DIW.01,5560.83,3
2110,W0016.Z3.DIW.01,4525.78,3
2113,W0021.Z3.DIW.01,2613.75,3
2114,W0022.Z3.DIW.01,2697.39,3
2115,W0023.Z3.DIW.01,9859.68,3
2116,W0023.Z3.DIW.02,12300.00,3
2118,W0027.Z3.DIW.01,2592.84,3
2123,W0034.Z3.DIW.01,2718.30,3
2124,W0036.Z3.DIW.01,2279.19,3
2125,W0036.Z3.DIW.03,4282.24,3
2127,W0042.Z3.DIW.01,2509.20,3
2130,W0045.Z3.DIW.01,2049.18,3
2131,W0047.Z3.DIW.01,2822.85,3
2132,W0047.Z3.DIW.03,5053.45,3
2134,W0051.Z3.DIW.01,2070.09,3
2135,W0052.Z3.DIW.01,4911.39,3
2136,W0052.Z3.DIW.02,7204.72,3
2137,W0053.Z3.DIW.01,2001.83,3
2139,W0055.Z3.DIW.01,2467.38,3
2144,W0061.Z3.DIW.01,3073.77,3
2145,W0062.Z3.DIW.01,2864.67,3
2146,W0064.Z3.DIW.01,2655.57,3
2148,W0070.Z3.DIW.01,2927.40,3
2149,W0071.Z3.DIW.01,2927.40,3
2150,W0072.Z3.DIW.01,3409.56,3
2153,W0083.Z3.DIW.01,3366.51,3
2155,W0088.Z3.DIW.01,2300.10,3
2156,W0088.Z3.DIW.03,2781.03,3
2157,W0088.Z3.DIW.04,2927.40,3
2158,W0088.Z3.DIW.05,3094.68,3
2160,W0090.Z3.DIW.01,2258.28,3
2161,W0091.Z3.DIW.01,2111.91,3
2163,W0096.Z3.DIW.01,2195.55,3
2164,W0100.Z3.DIW.01,1700.47,3
2168,W0111.Z3.DIW.07,2066.40,3
2169,W0111.Z3.DIW.01,2070.09,3
2170,W0111.Z3.DIW.03,2341.92,3
2171,W0111.Z3.DIW.04,2488.29,3
2172,W0111.Z3.DIW.06,2969.22,3
2173,W0114.Z3.DIW.01,2066.40,3
2174,W0116.Z3.DIW.01,2383.74,3
2175,W0118.Z3.DIW.01,2153.73,3
2176,W0118.Z3.DIB.01,2111.91,3
2186,W0133.Z3.DIW.01,2969.22,3
2187,W0134.Z3.DIW.01,2718.30,3
2188,W0137.Z3.DIW.01,2195.55,3
2193,W0155.Z3.DIW.01,3308.08,3
2194,W0155.Z3.DIW.02,4343.13,3
2195,W0155.Z3.DIW.05,5357.88,3
2196,W0155.Z3.DIW.06,7367.08,3
2197,W0156.Z3.DIW.02,2362.83,3
2198,W0156.Z3.DIW.03,3470.45,3
2199,W0157.Z3.DIW.01,3094.68,3
2200,W0158.Z3.DIW.01,1980.30,3
2201,W0159.Z3.DIW.01,2718.30,3
2202,W0160.Z3.DIW.01,2613.75,3
2206,W0163.Z3.DIW.01,2383.74,3
2208,W0163.Z3.DIW.03,4951.98,3
2209,W0171.Z3.DIW.01,2551.02,3
2210,W0173.Z3.DIW.01,2864.67,3
2211,W0175.Z3.DIW.01,1894.20,3
2213,W0177.Z3.DIW.01,3094.68,3
2214,W0178.Z3.DIW.01,2195.55,3
2215,W0178.Z3.DIW.02,2613.75,3
2216,W0179.Z3.DIW.01,1614.38,3
2217,W0180.Z3.DIW.01,2613.75,3
2218,W0181.Z3.DIW.01,1980.30,3
2220,W0184.Z3.DIW.01,3199.23,3
2222,W0187.Z3.DIW.01,1980.30,3
2223,W0188.Z3.DIW.01,2001.83,3
