product_id,name,price,quantity,sku,ean,category,manufacturer,weight,image,attributes_json,attributes_text,original_price,original_quantity,price_changed,quantity_changed
W0042.R3.DIW.01,"Pierścionek W0042 Diament 0,13ct różowe złoto",2530.11,3,W0042.R3.DIW.01,5906803031799,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37623/W0042.R3.DIW.01_1.jpg,{},,1210.00,in stock,TAK,TAK
W0045.R3.DIW.01,"Pierścionek W0045 Diament 0,10ct różowe złoto",1980.30,3,W0045.R3.DIW.01,5906803031867,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37723/W0045.R3.DIW.01_1.jpg,{},,920.00,in stock,TAK,TAK
W0047.R3.DIW.01,"Pierścionek W0047 Diament 0,10ct różowe złoto",2509.20,3,W0047.R3.DIW.01,5906803031881,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37751/W0047.R3.DIW.01_1.jpg,{},,1200.00,in stock,TAK,TAK
W0047.R3.DIW.03,"Pierścionek W0047 Diament 0,30ct różowe złoto",4769.32,3,W0047.R3.DIW.03,5906803031898,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37755/W0047.R3.DIW.03_1.jpg,{},,2350.00,in stock,TAK,TAK
W0051.R3.DIW.01,"Pierścionek W0051 Diament 0,04ct różowe złoto",1980.30,3,W0051.R3.DIW.01,5906803031942,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37819/W0051.R3.DIW.01_1.jpg,{},,920.00,in stock,TAK,TAK
W0052.R3.DIW.01,"Pierścionek W0052 Diament 0,30ct różowe złoto",4647.55,3,W0052.R3.DIW.01,5906803031959,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37835/W0052.R3.DIW.01_1.jpg,{},,2290.00,in stock,TAK,TAK
W0052.R3.DIW.02,"Pierścionek W0052 Diament 0,50ct różowe złoto",9466.08,3,W0052.R3.DIW.02,5906803031966,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37839/W0052.R3.DIW.02_1.jpg,{},,4810.00,in stock,TAK,TAK
W0053.R3.DIW.01,"Pierścionek W0053 Diament 0,10ct różowe złoto",1894.20,3,W0053.R3.DIW.01,5906803031973,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37855/W0053.R3.DIW.01_1.jpg,{},,880.00,in stock,TAK,TAK
W0055.R3.DIW.01,"Pierścionek W0055 Diament 0,04ct różowe złoto",2044.88,3,W0055.R3.DIW.01,5906803031997,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37879/W0055.R3.DIW.01_1.jpg,{},,950.00,in stock,TAK,TAK
W0061.R3.DIW.01,"Pierścionek W0061 Diament 0,10ct różowe złoto",2864.67,3,W0061.R3.DIW.01,5906803032048,,,,https://sklep.bestdiamonds.pl/userdata/public/gfx/37939/W0061.R3.DIW.01_1.jpg,{},,1370.00,in stock,TAK,TAK
