product_id,sku,name,purchase_price,price,quantity,image1,image2,image3,image4,Długość,Jakość kamienia centralnego,Jakość kamienia dodatkowego A,Jakość kamienia dodatkowego B,Jakość kamienia dodatkowego C,Kamienie dodatkowe A,Kamienie dodatkowe B,Kamienie dodatkowe C,Kamień centralny,Kategoria,Kruszec Kolor,Kształt,Liczba kamieni dodatkowych A,Liczba kamieni dodatkowych B,Liczba kamieni dodatkowych C,Masa kamienia centralnego,Masa kamienia dodatkowego A,Masa kamienia dodatkowego B,Masa kamienia dodatkowego C,Model,Outlet,Próba złota,Szerokość szyny przy koronie,Translation_PromotionPrice,Translation_lang,Typ zapięcia,Waga,Wymiary,Wymiary kamienia centralnego,Wymiary kamienia dodatkowego A,Wymiary kamienia dodatkowego B,Wymiary kamienia dodatkowego C,Wysokość korony,Łączna Masa diamentów,Łączna masa kamieni dodatkowych
10879,N0069.R3.DIW.16,Naszyjnik N0069 z diamentami - litera P - różowe złoto,615.00,1107.00,3,https://lovrin.pl/images/diamonds/10879_ab5fba2d64.jpg,,,,,,SI2 H,,,Diament,,,,,Złoto Różowe,,1,,,,0.005ct,,,N0069,,585,,,pl_PL,,0.9 - 1.3g,8 x 15mm,,1.0mm,,,,,0.005ct
10880,N0069.R3.DIW.19,Naszyjnik N0069 z diamentami - litera S - różowe złoto,615.00,1107.00,3,https://lovrin.pl/images/diamonds/10880_967f8a2503.jpg,,,,,,SI2 H,,,Diament,,,,,Złoto Różowe,,1,,,,0.005ct,,,N0069,,585,,,pl_PL,,0.9 - 1.3g,Zawieszka: 8 x 15mm,,1.0mm,,,,,0.005ct
10882,N0069.R3.DIW.21,Naszyjnik N0069 z diamentami - litera U - różowe złoto,615.00,1107.00,3,https://lovrin.pl/images/diamonds/10882_3ad4fd2fc8.jpg,,,,,,SI2 H,,,Diament,,,,,Złoto Różowe,,1,,,,0.005ct,,,N0069,,585,,,pl_PL,,0.9 - 1.3g,Zawieszka: 10 x 15mm,,1.0mm,,,,,0.005ct
10883,W0005.Z3.AMV.01,"Pierścionek W0005 Ametyst 0,40ct żółte złoto",1463.70,2488.29,3,https://lovrin.pl/images/diamonds/10883_caaa40eedb.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/65726/W0005.Z3.AMV.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/65727/W0005.Z3.AMV.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/65728/W0005.Z3.AMV.01_4.jpg,,,SI2 H,,,Diament,,,Ametyst,Kolorowe,Złoto Żółte,Owal,6,,,0.40ct,0.0086ct,,,W0005,,585,2.0mm,,pl_PL,,1.7 - 2.3g,,6 x 4mm,1.2mm,,,6.0mm,,0.052ct
10884,W0010.B3.MOP.01,"Pierścionek W0010 Morganit 0,40ct białe złoto",1808.10,3073.77,3,https://lovrin.pl/images/diamonds/10884_ece35a199a.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68928/W0010.B3.MOP.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68929/W0010.B3.MOP.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68930/W0010.B3.MOP.01_4.jpg,,,SI2 H,,,Diament,,,Morganit,Kolorowe,Złoto Białe,Okrągły,2,,,0.40ct,0.0145ct,,,W0010,,585,1.7mm,,pl_PL,,1.7 - 2.5g,,5.0mm,1.5mm,,,4.9mm,,0.029ct
10885,W0010.R3.MOP.01,"Pierścionek W0010 Morganit 0,40ct różowe złoto",1808.10,3073.77,3,https://lovrin.pl/images/diamonds/10885_fc6540c569.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68972/W0010.R3.MOP.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68973/W0010.R3.MOP.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68974/W0010.R3.MOP.01_4.jpg,,,SI2 H,,,Diament,,,Morganit,Kolorowe,Złoto Różowe,Okrągły,2,,,0.40ct,0.0145ct,,,W0010,,585,1.7mm,,pl_PL,,1.7 - 2.5g,,5.0mm,1.5mm,,,4.9mm,,0.029ct
10886,W0010.Z3.MOP.01,"Pierścionek W0010 Morganit 0,40ct żółte złoto",1808.10,3073.77,3,https://lovrin.pl/images/diamonds/10886_eb8287d52d.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69017/W0010.Z3.MOP.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69018/W0010.Z3.MOP.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69019/W0010.Z3.MOP.01_4.jpg,,,SI2 H,,,Diament,,,Morganit,Kolorowe,Złoto Żółte,Okrągły,2,,,0.40ct,0.0145ct,,,W0010,,585,1.7mm,,pl_PL,,1.7 - 2.5g,,5.0mm,1.5mm,,,4.9mm,,0.029ct
10887,W0014.B3.CIY.01,"Pierścionek W0014 Cytryn 0,50ct białe złoto",1562.10,2655.57,3,https://lovrin.pl/images/diamonds/10887_7412cf401b.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57361/W0014.B3.CIY.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57360/W0014.B3.CIY.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57359/W0014.B3.CIY.01_4.jpg,,,SI2 H,,,Diament,,,Cytryn,Kolorowe,Złoto Białe,Okrągły,2,,,0.50ct,0.01ct,,,W0014,,585,3.5mm,,pl_PL,,1.9 - 2.7g,,5.0mm,1.3mm,,,5.0mm,,0.02ct
10888,W0014.R3.CIY.01,"Pierścionek W0014 Cytryn 0,50ct różowe złoto",1562.10,2655.57,3,https://lovrin.pl/images/diamonds/10888_c63c0e7998.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57365/W0014.R3.CIY.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57364/W0014.R3.CIY.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57363/W0014.R3.CIY.01_4.jpg,,,SI2 H,,,Diament,,,Cytryn,Kolorowe,Złoto Różowe,Okrągły,2,,,0.50ct,0.01ct,,,W0014,,585,3.5mm,,pl_PL,,1.9 - 2.7g,,5.0mm,1.3mm,,,5.0mm,,0.02ct
10889,W0014.Z3.CIY.01,"Pierścionek W0014 Cytryn 0,50ct żółte złoto",1562.10,2655.57,3,https://lovrin.pl/images/diamonds/10889_d066caebbc.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57369/W0014.Z3.CIY.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57368/W0014.Z3.CIY.01_3.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57367/W0014.Z3.CIY.01_4.jpg,,,SI2 H,,,Diament,,,Cytryn,Kolorowe,Złoto Żółte,Okrągły,2,,,0.50ct,0.01ct,,,W0014,,585,3.5mm,,pl_PL,,1.9 - 2.7g,,5.0mm,1.3mm,,,5.0mm,,0.02ct
10890,K0354.R3.AMV.01,"Kolczyki K0354 Ametyst 2 x 0,40ct różowe złoto",3210.30,5296.99,3,https://lovrin.pl/images/diamonds/10890_e24bb14e77.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57512/K0354.R3.AMV.01_3.jpg,,,,,SI2 H,,,Diament,,,Ametyst,,Złoto Różowe,Owal,24,,,2 x 0.40ct,0.0086ct,,,K0354,,585,,,pl_PL,Angielskie,4.0 - 4.8g,11 x 13mm,6 x 4mm,1.2mm,,,,,0.206ct
10892,K0001.B3.AMV.01,"Kolczyki K0001 Ametyst 2 x 0,40ct białe złoto",1020.90,1786.58,3,https://lovrin.pl/images/diamonds/10892_44f8c50b8d.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57379/K0001.B3.AMV.01_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57377/K0001.B3.AMV.01_3.jpg,,,,SI2 H,,,Diament,,,Ametyst,,Złoto Białe,Owal,2,,,2 x 0.40ct,0.0145ct,,,K0001,,585,,,pl_PL,Sztyft,1.2 - 1.6g,4 x 7mm,6 x 4mm,1.5mm,,,,,0.029ct
10893,K0001.B3.AMV.02,"Kolczyki K0001 Ametyst 2 x 0,40ct białe złoto sztyft zakręcany",1119.30,1958.77,3,https://lovrin.pl/images/diamonds/10893_102f9da486.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57381/K0001.B3.AMV.02_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57380/K0001.B3.AMV.02_3.jpg,,,,SI2 H,,,Diament,,,Ametyst,,Złoto Białe,Owal,2,,,2 x 0.40ct,0.0145ct,,,K0001,,585,,,pl_PL,Sztyft zakręcany,1.4 - 1.8g,4 x 7mm,6 x 4mm,1.5mm,,,,,0.029ct
10894,K0001.R3.CIY.02,"Kolczyki K0001 Cytryn 2 x 0,60ct różowe złoto sztyft zakręcany",1143.90,2001.83,3,https://lovrin.pl/images/diamonds/10894_3d208d49aa.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57385/K0001.R3.CIY.02_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57383/K0001.R3.CIY.02_3.jpg,,,,SI2 H,,,Diament,,,Cytryn,,Złoto Różowe,Owal,2,,,2 x 0.60ct,0.0145ct,,,K0001,,585,,,pl_PL,Sztyft zakręcany,1.4 - 1.8g,4 x 7mm,6 x 4mm,1.5mm,,,,,0.029ct
10895,K0501.B3.DIW.03,"Kolczyki K0501 Diament 2 x 0,04ct białe złoto sztyft zakręcany",787.20,1416.96,3,https://lovrin.pl/images/diamonds/10895_84178d54f1.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/66522/K0501.B3.DIW.03_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/66523/K0501.B3.DIW.03_3.jpg,,,SI2 H,,,,,,,Diament,,Złoto Białe,Okrągły,,,,2 x 0.04ct,,,,K0501,,585,,,pl_PL,Sztyft zakręcany,0.6 - 1.0g,3 x 3mm,2.2mm,,,,,,
10896,W0262.Z3.EMG.01,"Pierścionek W0262 Szmaragd 0,15ct żółte złoto",1648.20,2801.94,3,https://lovrin.pl/images/diamonds/10896_8685918e11.jpg,,,,,,SI2 H,,,Diament,,,Szmaragd,Kolorowe,Złoto Żółte,Okrągły,8,,,0.15ct,0.005ct,,,W0262,,585,,,pl_PL,,1.7 - 2.5g,,3.0mm,1.0mm,,,,,0.04ct
10897,K0440.B3.XXX.02,Kolczyki K0440 z diamentami białe złoto sztyft zakręcany,3099.60,5114.34,3,https://lovrin.pl/images/diamonds/10897_e366469ab1.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57391/K0440.B3.XXX.02_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57544/K0440.B3.XXX.02_3.jpg,,,,SI2 H,,,Diament,Brązowy Diament,,,,Złoto Białe,,34,14,,,0.005ct,0.05ct,,K0440,,585,,,pl_PL,Sztyft zakręcany,2.0 - 2.6g,10 x 15mm,,1.0mm,2.2mm,,,,
10898,K0440.Z3.XXX.02,Kolczyki K0440 z diamentami żółte złoto sztyft zakręcany,3099.60,5114.34,3,https://lovrin.pl/images/diamonds/10898_887d2d8a86.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57393/K0440.Z3.XXX.02_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57548/K0440.Z3.XXX.02_3.jpg,,,,SI2 H,,,Diament,Brązowy Diament,,,,Złoto Żółte,,34,14,,,0.005ct,0.05ct,,K0440,,585,,,pl_PL,Sztyft zakręcany,2.0 - 2.6g,10 x 15mm,,1.0mm,2.2mm,,,,
10899,K0440.R3.XXX.02,Kolczyki K0440 z diamentami różowe złoto sztyft zakręcany,3099.60,5114.34,3,https://lovrin.pl/images/diamonds/10899_b717155933.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57395/K0440.R3.XXX.02_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57546/K0440.R3.XXX.02_3.jpg,,,,SI2 H,,,Diament,Brązowy Diament,,,,Złoto Różowe,,34,14,,,0.005ct,0.05ct,,K0440,,585,,,pl_PL,Sztyft zakręcany,2.0 - 2.6g,10 x 15mm,,1.0mm,2.2mm,,,,
10900,K0035.B3.DIW.02,"Kolczyki K0035 Diament 2 x 0,04ct białe złoto sztyft zakręcany",861.00,1506.75,3,https://lovrin.pl/images/diamonds/10900_ded7d0490e.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/67104/K0035.B3.DIW.02_2.jpg,,,,SI2 H,,,,,,,Diament,,Złoto Białe,Okrągły,,,,2 x 0.04ct,,,,K0035,,585,,,pl_PL,Sztyft zakręcany,0.7 - 1.1g,3 x 3mm,2.2mm,,,,,,
10901,K0035.R3.DIW.02,"Kolczyki K0035 Diament 2 x 0,04ct różowe złoto sztyft zakręcany",861.00,1506.75,3,https://lovrin.pl/images/diamonds/10901_d4739414e0.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/67109/K0035.R3.DIW.02_2.jpg,,,,SI2 H,,,,,,,Diament,,Złoto Różowe,Okrągły,,,,2 x 0.04ct,,,,K0035,,585,,,pl_PL,Sztyft zakręcany,0.7 - 1.1g,3 x 3mm,2.2mm,,,,,,
10904,K0059.B3.DIW.02,Kolczyki K0059 z diamentami białe złoto sztyft zakręcany,1119.30,1958.77,3,https://lovrin.pl/images/diamonds/10904_66d8ba4169.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57407/K0059.B3.DIW.02_2.jpg,,,,,SI2 H,,,Diament,,,,,Złoto Białe,,4,,,,0.02ct,,,K0059,,585,,,pl_PL,Sztyft zakręcany,1.2 - 1.6g,10 x 8mm,,1.8mm,,,,,0.08ct
10905,K0068.Z3.DIW.04,"Kolczyki K0068 Diament 2 x 0,15ct żółte złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10905_053318b96e.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69288/K0068.Z3.DIW.04_2.jpg,,,,SI2 H,,,,,,,Diament,,Złoto Żółte,Okrągły,,,,2 x 0.15ct,,,,K0068,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,4 x 4mm,3.4mm,,,,,,
10906,K0068.B3.DIW.04,"Kolczyki K0068 Diament 2 x 0,15ct białe złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10906_5f503fd4db.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69275/K0068.B3.DIW.04_2.jpg,,,,SI2 H,,,,,,,Diament,,Złoto Białe,Okrągły,,,,2 x 0.15ct,,,,K0068,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,4 x 4mm,3.4mm,,,,,,
10907,K0068.R3.DIW.04,"Kolczyki K0068 Diament 2 x 0,15ct różowe złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10907_3f8a112645.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/69281/K0068.R3.DIW.04_2.jpg,,,,SI2 H,,,,,,,Diament,,Złoto Różowe,Okrągły,,,,2 x 0.15ct,,,,K0068,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,4 x 4mm,3.4mm,,,,,,
10908,K0222.B3.DIW.08,"Kolczyki K0222 Diament 2 x 0,15ct białe złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10908_d80d5f56db.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68482/K0222.B3.DIW.08_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68483/K0222.B3.DIW.08_3.jpg,,,SI2 H,,,,,,,Diament,,Złoto Białe,Okrągły,,,,2 x 0.15ct,,,,K0222,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,5mm,3.4mm,,,,,,
10909,K0222.R3.DIW.08,"Kolczyki K0222 Diament 2 x 0,15ct różowe złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10909_cf7ee0e64d.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68563/K0222.R3.DIW.08_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68564/K0222.R3.DIW.08_3.jpg,,,SI2 H,,,,,,,Diament,,Złoto Różowe,Okrągły,,,,2 x 0.15ct,,,,K0222,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,5mm,3.4mm,,,,,,
10910,K0222.Z3.DIW.08,"Kolczyki K0222 Diament 2 x 0,15ct żółte złoto sztyft zakręcany",2054.10,3389.26,3,https://lovrin.pl/images/diamonds/10910_a6cfcc1c5b.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68649/K0222.Z3.DIW.08_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/68650/K0222.Z3.DIW.08_3.jpg,,,SI2 H,,,,,,,Diament,,Złoto Żółte,Okrągły,,,,2 x 0.15ct,,,,K0222,,585,,,pl_PL,Sztyft zakręcany,1.1 - 1.5g,5mm,3.4mm,,,,,,
10911,K0329.B3.DIW.03,"Kolczyki K0329 Diament 2 x 0,08ct białe złoto sztyft zakręcany",1586.70,2697.39,3,https://lovrin.pl/images/diamonds/10911_8f94f3d6f0.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57428/K0329.B3.DIW.03_2.jpg,https://sklep.bestdiamonds.pl/userdata/public/gfx/57493/K0329.B3.DIW.03_3.jpg,,,SI2 H,,,,,,,Diament,,Złoto Białe,Okrągły,,,,2 x 0.08ct,,,,K0329,,585,,,pl_PL,Sztyft zakręcany,1.4 - 1.8g,5 x 5mm,2.8mm,,,,,,
