product_id,price
W0001.Z3.DIW.01,1958.77
W0001.Z3.DIW.02,2592.84
W0004.Z3.DIW.01,4444.60
W0007.Z3.DIW.01,2634.66
W0009.Z3.DIW.01,5418.76
W0016.Z3.DIW.01,4464.90
W0021.Z3.DIW.01,2049.18
W0022.Z3.DIW.01,2362.83
W0023.Z3.DIW.01,11197.92
W0023.Z3.DIW.02,15557.04
W0027.Z3.DIW.01,2279.19
W0034.Z3.DIW.01,2676.48
W0036.Z3.DIW.01,2049.18
W0036.Z3.DIW.03,4383.72
W0042.Z3.DIW.01,2530.11
W0045.Z3.DIW.01,1980.30
W0047.Z3.DIW.01,2509.20
W0047.Z3.DIW.03,4769.32
W0051.Z3.DIW.01,1980.30
W0052.Z3.DIW.01,4647.55
W0052.Z3.DIW.02,9466.08
W0053.Z3.DIW.01,1894.20
W0055.Z3.DIW.01,2044.88
W0061.Z3.DIW.01,2864.67
W0062.Z3.DIW.01,2676.48
W0064.Z3.DIW.01,2023.35
W0070.Z3.DIW.01,2781.03
W0071.Z3.DIW.01,2781.03
W0072.Z3.DIW.01,3199.23
W0083.Z3.DIW.01,2801.94
W0088.Z3.DIW.01,1872.67
W0088.Z3.DIW.03,2258.28
W0088.Z3.DIW.04,2509.20
W0088.Z3.DIW.05,2613.75
W0090.Z3.DIW.01,1980.30
W0091.Z3.DIW.01,1980.30
W0096.Z3.DIW.01,1937.25
W0100.Z3.DIW.01,1549.80
W0111.Z3.DIW.07,1722.00
W0111.Z3.DIW.01,1765.05
W0111.Z3.DIW.03,2174.64
W0111.Z3.DIW.04,2404.65
W0111.Z3.DIW.06,3136.50
W0114.Z3.DIW.01,1614.38
W0116.Z3.DIW.01,1786.58
W0118.Z3.DIW.01,1915.73
W0118.Z3.DIB.01,1872.67
W0133.Z3.DIW.01,2781.03
W0134.Z3.DIW.01,2509.20
W0137.Z3.DIW.01,1872.67
W0155.Z3.DIW.01,2885.58
W0155.Z3.DIW.02,3673.39
W0155.Z3.DIW.05,4444.60
W0155.Z3.DIW.06,8718.24
W0156.Z3.DIW.02,1958.77
W0156.Z3.DIW.03,3199.23
W0157.Z3.DIW.01,2781.03
W0158.Z3.DIW.01,1743.52
W0159.Z3.DIW.01,2258.28
W0160.Z3.DIW.01,2216.46
W0163.Z3.DIW.01,2132.82
W0163.Z3.DIW.03,4606.96
W0171.Z3.DIW.01,2153.73
W0173.Z3.DIW.01,2676.48
W0175.Z3.DIW.01,1614.38
W0177.Z3.DIW.01,2906.49
W0178.Z3.DIW.01,1958.77
W0178.Z3.DIW.02,2132.82
W0179.Z3.DIW.01,1463.70
W0180.Z3.DIW.01,2404.65
W0181.Z3.DIW.01,1872.67
W0184.Z3.DIW.01,2948.31
W0187.Z3.DIW.01,1678.95
W0188.Z3.DIW.01,1765.05
W0189.Z3.DIW.01,1743.52
W0190.Z3.DIW.03,2044.88
W0190.Z3.DIW.04,2237.37
W0190.Z3.DIW.01,1678.95
W0191.Z3.DIW.03,2237.37
W0191.Z3.DIW.01,1678.95
W0192.Z3.DIW.01,2044.88
W0196.Z3.DIW.01,1528.27
W0197.Z3.DIW.01,4180.77
W0198.Z3.DIW.01,4951.98
W0199.Z3.DIW.01,4485.19
W0200.Z3.DIW.01,3876.35
W0201.Z3.DIW.01,3366.51
W0202.Z3.DIW.01,3856.05
W0207.Z3.DIW.01,2446.47
W0207.Z3.DIW.02,2676.48
W0208.Z3.DIW.01,2341.92
W0208.Z3.DIW.02,2592.84
W0209.Z3.DIW.01,1722.00
W0209.Z3.DIW.02,1980.30
W0210.Z3.DIW.01,2087.92
