product_id,sku,price
2101,W0001.Z3.DIW.01,1958.77
2102,W0001.Z3.DIW.02,2592.84
2103,W0004.Z3.DIW.01,4444.60
2104,W0007.Z3.DIW.01,2634.66
2106,W0009.Z3.DIW.01,5418.76
2110,W0016.Z3.DIW.01,4464.90
2113,W0021.Z3.DIW.01,2049.18
2114,W0022.Z3.DIW.01,2362.83
2115,W0023.Z3.DIW.01,11197.92
2116,W0023.Z3.DIW.02,15557.04
2118,W0027.Z3.DIW.01,2279.19
2123,W0034.Z3.DIW.01,2676.48
2124,W0036.Z3.DIW.01,2049.18
2125,W0036.Z3.DIW.03,4383.72
2127,W0042.Z3.DIW.01,2530.11
2130,W0045.Z3.DIW.01,1980.30
2131,W0047.Z3.DIW.01,2509.20
2132,W0047.Z3.DIW.03,4769.32
2134,W0051.Z3.DIW.01,1980.30
2135,W0052.Z3.DIW.01,4647.55
2136,W0052.Z3.DIW.02,9466.08
2137,W0053.Z3.DIW.01,1894.20
2139,W0055.Z3.DIW.01,2044.88
2144,W0061.Z3.DIW.01,2864.67
2145,W0062.Z3.DIW.01,2676.48
2146,W0064.Z3.DIW.01,2023.35
2148,W0070.Z3.DIW.01,2781.03
2149,W0071.Z3.DIW.01,2781.03
2150,W0072.Z3.DIW.01,3199.23
2153,W0083.Z3.DIW.01,2801.94
2155,W0088.Z3.DIW.01,1872.67
2156,W0088.Z3.DIW.03,2258.28
2157,W0088.Z3.DIW.04,2509.20
2158,W0088.Z3.DIW.05,2613.75
2160,W0090.Z3.DIW.01,1980.30
2161,W0091.Z3.DIW.01,1980.30
2163,W0096.Z3.DIW.01,1937.25
2164,W0100.Z3.DIW.01,1549.80
2168,W0111.Z3.DIW.07,1722.00
2169,W0111.Z3.DIW.01,1765.05
2170,W0111.Z3.DIW.03,2174.64
2171,W0111.Z3.DIW.04,2404.65
2172,W0111.Z3.DIW.06,3136.50
2173,W0114.Z3.DIW.01,1614.38
2174,W0116.Z3.DIW.01,1786.58
2175,W0118.Z3.DIW.01,1915.73
2176,W0118.Z3.DIB.01,1872.67
2186,W0133.Z3.DIW.01,2781.03
2187,W0134.Z3.DIW.01,2509.20
2188,W0137.Z3.DIW.01,1872.67
2193,W0155.Z3.DIW.01,2885.58
2194,W0155.Z3.DIW.02,3673.39
2195,W0155.Z3.DIW.05,4444.60
2196,W0155.Z3.DIW.06,8718.24
2197,W0156.Z3.DIW.02,1958.77
2198,W0156.Z3.DIW.03,3199.23
2199,W0157.Z3.DIW.01,2781.03
2200,W0158.Z3.DIW.01,1743.52
2201,W0159.Z3.DIW.01,2258.28
2202,W0160.Z3.DIW.01,2216.46
