product_id,quantity
W0322.Z3.DIW.01,3
W0329.Z3.DIW.01,3
W0331.Z3.DIW.01,3
W0332.Z3.DIW.01,3
W0335.Z3.DIW.01,3
W0340.Z3.DIW.06,3
W0340.Z3.DIW.02,3
W0341.Z3.DIW.01,3
W0343.Z3.DIW.01,3
W0344.Z3.DIW.01,3
W0345.Z3.DIW.01,3
W0346.Z3.DIW.02,3
W0346.Z3.DIW.01,3
W0347.Z3.DIW.01,3
W0349.Z3.DIW.01,3
W0352.Z3.DIW.01,3
W0353.Z3.DIW.01,3
W0355.Z3.DIW.01,3
W0356.Z3.DIW.01,3
W0360.Z3.DIW.01,3
W0361.Z3.DIW.01,3
W0362.Z3.DIW.01,3
W0364.Z3.DIW.01,3
W0365.Z3.DIW.01,3
W0367.Z3.DIW.01,3
W0369.Z3.DIW.01,3
W0377.Z3.DIW.01,3
W0381.Z3.DIW.01,3
W0382.Z3.DIW.01,3
W0387.Z3.DIW.01,3
W0399.Z3.DIW.01,3
W0401.Z3.DIW.01,3
W0402.Z3.DIW.01,3
W0404.Z3.DIW.01,3
W0406.Z3.DIW.01,3
W0407.Z3.DIW.01,3
W0408.Z3.DIW.02,3
W0410.Z3.DIW.01,3
W0411.Z3.DIW.01,3
W0412.Z3.DIW.01,3
W0413.Z3.DIW.01,3
W0414.Z3.DIW.01,3
W0415.Z3.DIW.01,3
W0416.Z3.DIW.01,3
W0417.Z3.DIW.01,3
W0418.Z3.DIW.01,3
W0419.Z3.DIW.01,3
W0421.Z3.DIW.01,3
W0423.Z3.DIW.01,3
W0425.Z3.DIW.01,3
W0426.Z3.DIW.01,3
W0427.Z3.DIW.01,3
W0428.Z3.DIW.01,3
W0429.Z3.DIW.01,3
W0432.Z3.DIW.01,3
W0433.Z3.DIW.01,3
W0434.Z3.DIW.01,3
W0435.Z3.DIW.01,3
W0437.Z3.DIW.01,3
W0439.Z3.DIW.01,3
W0442.Z3.DIW.01,3
W0446.Z3.DIW.01,3
W0447.Z3.DIW.01,3
W0448.Z3.DIW.01,3
W0449.Z3.DIW.01,3
W0450.Z3.DIW.02,3
W0450.Z3.DIW.01,3
W0453.Z3.DIW.01,3
W0459.Z3.DIW.03,3
W0459.Z3.DIW.01,3
W0461.Z3.DIW.01,3
W0461.Z3.DIW.02,3
W0461.Z3.DIW.03,3
W0462.Z3.DIW.01,3
W0463.Z3.DIW.01,3
W0464.Z3.DIW.02,3
W0465.Z3.DIW.01,3
W0466.Z3.DIW.01,3
W0467.Z3.DIW.01,3
W0468.Z3.DIW.01,3
W0469.Z3.DIW.01,3
W0470.Z3.DIW.01,3
W0471.Z3.DIW.01,3
W0474.Z3.DIW.01,3
W0475.Z3.DIW.01,3
W0477.Z3.DIW.01,3
W0479.Z3.DIW.01,3
W0482.Z3.DIW.01,3
W0482.Z3.DIW.02,3
W0482.Z3.DIW.03,3
W0482.Z3.DIW.04,3
W0484.Z3.DIW.01,3
W0484.Z3.DIW.02,3
W0484.Z3.DIW.03,3
W0499.Z3.DIW.02,3
W0499.Z3.DIW.03,3
W0500.Z3.DIW.01,3
W0504.Z3.DIW.01,3
W0505.Z3.DIW.01,3
W0506.Z3.DIW.01,3
W0507.Z3.DIW.01,3
W0508.Z3.DIW.01,3
W0508.Z3.DIW.02,3
W0508.Z3.DIW.03,3
W0508.Z3.DIW.04,3
W0509.Z3.DIW.01,3
W0510.Z3.DIW.01,3
W0512.Z3.DIW.01,3
W0519.Z3.DIW.01,3
W0521.Z3.DIW.01,3
W0522.Z3.DIW.01,3
W0523.Z3.DIW.01,3
W0524.Z3.DIW.01,3
W0524.Z3.DIW.02,3
W0524.Z3.DIW.04,3
W0524.Z3.DIW.05,3
W0526.Z3.DIW.01,3
W0526.Z3.DIW.02,3
W0526.Z3.DIW.03,3
W0526.Z3.DIW.04,3
W0528.Z3.DIW.01,3
W0530.Z3.DIW.01,3
W0531.Z3.DIW.01,3
W0532.Z3.DIW.01,3
W0534.Z3.DIW.02,3
W0534.Z3.DIW.03,3
W0534.Z3.DIW.04,3
W0534.Z3.DIW.05,3
W0535.Z3.DIW.02,3
W0535.Z3.DIW.03,3
W0535.Z3.DIW.04,3
W0535.Z3.DIW.05,3
W0537.Z3.DIW.01,3
W0539.Z3.DIW.01,3
W0539.Z3.DIW.02,3
W0539.Z3.DIW.03,3
W0539.Z3.DIW.04,3
W0540.Z3.DIW.02,3
W0540.Z3.DIW.03,3
W0540.Z3.DIW.04,3
W0540.Z3.DIW.05,3
W0541.Z3.DIW.01,3
W0541.Z3.DIW.02,3
W0541.Z3.DIW.03,3
W0541.Z3.DIW.04,3
W0542.Z3.DIW.02,3
W0542.Z3.DIW.03,3
W0542.Z3.DIW.04,3
W0543.Z3.DIW.01,3
W0543.Z3.DIW.02,3
W0543.Z3.DIW.04,3
W0544.Z3.DIW.01,3
W0544.Z3.DIW.02,3
W0544.Z3.DIW.03,3
W0544.Z3.DIW.04,3
W0545.Z3.DIW.01,3
W0545.Z3.DIW.03,3
W0545.Z3.DIW.04,3
W0546.Z3.DIW.01,3
W0546.Z3.DIW.02,3
W0546.Z3.DIW.03,3
W0547.Z3.DIW.01,3
W0547.Z3.DIW.02,3
W0547.Z3.DIW.03,3
W0547.Z3.DIW.04,3
W0548.Z3.DIW.01,3
W0548.Z3.DIW.02,3
W0548.Z3.DIW.04,3
W0549.Z3.DIW.01,3
W0549.Z3.DIW.02,3
W0549.Z3.DIW.03,3
W0549.Z3.DIW.04,3
W0550.Z3.DIW.01,3
W0550.Z3.DIW.03,3
W0550.Z3.DIW.04,3
W0551.Z3.DIW.01,3
W0551.Z3.DIW.02,3
W0551.Z3.DIW.03,3
W0551.Z3.DIW.04,3
W0552.Z3.DIW.02,3
W0552.Z3.DIW.03,3
W0552.Z3.DIW.04,3
W0553.Z3.DIW.01,3
W0553.Z3.DIW.02,3
W0553.Z3.DIW.03,3
W0554.Z3.DIW.01,3
W0562.Z3.DIW.01,3
W0563.Z3.DIW.01,3
W0563.Z3.DIW.02,3
W0563.Z3.DIW.03,3
W0563.Z3.DIW.04,3
W0567.Z3.DIW.01,3
W0568.Z3.DIW.01,3
W0570.Z3.DIW.01,3
W0571.Z3.DIW.01,3
W0580.Z3.DIW.01,3
W0542.Z3.DIW.01,3
W0543.Z3.DIW.03,3
W0545.Z3.DIW.02,3
W0546.Z3.DIW.04,3
W0548.Z3.DIW.03,3
W0550.Z3.DIW.02,3
W0552.Z3.DIW.01,3
W0553.Z3.DIW.04,3
W0561.Z3.DIW.01,3
W0565.Z3.DIW.01,3
W0001.B3.DIW.01,3
W0001.B3.DIW.02,3
W0004.B3.DIW.01,3
W0007.B3.DIW.01,3
W0009.B3.DIW.01,3
W0016.B3.DIW.01,3
W0021.B3.DIW.01,3
W0022.B3.DIW.01,3
W0023.B3.DIW.01,3
W0023.B3.DIW.02,3
W0027.B3.DIW.01,3
W0034.B3.DIW.01,3
W0036.B3.DIW.01,3
W0036.B3.DIW.03,3
W0042.B3.DIW.01,3
W0045.B3.DIW.01,3
W0047.B3.DIW.01,3
W0047.B3.DIW.03,3
W0051.B3.DIW.01,3
W0052.B3.DIW.01,3
W0052.B3.DIW.02,3
W0053.B3.DIW.01,3
W0055.B3.DIW.01,3
W0061.B3.DIW.01,3
W0062.B3.DIW.01,3
W0064.B3.DIW.01,3
W0070.B3.DIW.01,3
W0071.B3.DIW.01,3
W0072.B3.DIW.01,3
W0083.B3.DIW.01,3
W0088.B3.DIW.01,3
W0088.B3.DIW.03,3
W0088.B3.DIW.04,3
W0088.B3.DIW.05,3
W0090.B3.DIW.01,3
W0091.B3.DIW.01,3
W0096.B3.DIW.01,3
W0100.B3.DIW.01,3
W0111.B3.DIW.01,3
W0111.B3.DIW.04,3
W0111.B3.DIW.06,3
W0111.B3.DIW.07,3
W0114.B3.DIW.01,3
W0116.B3.DIW.01,3
W0118.B3.DIW.01,3
W0133.B3.DIW.01,3
W0134.B3.DIW.01,3
W0137.B3.DIW.01,3
W0155.B3.DIW.01,3
W0155.B3.DIW.02,3
W0155.B3.DIW.05,3
W0155.B3.DIW.06,3
W0156.B3.DIW.02,3
W0156.B3.DIW.03,3
W0157.B3.DIW.01,3
W0158.B3.DIW.01,3
W0159.B3.DIW.01,3
W0160.B3.DIW.01,3
W0163.B3.DIW.01,3
W0163.B3.DIW.03,3
W0171.B3.DIW.01,3
W0173.B3.DIW.01,3
W0175.B3.DIW.01,3
W0177.B3.DIW.01,3
W0178.B3.DIW.01,3
W0178.B3.DIW.02,3
W0179.B3.DIW.01,3
W0180.B3.DIW.01,3
W0181.B3.DIW.01,3
W0184.B3.DIW.01,3
W0187.B3.DIW.01,3
W0188.B3.DIW.01,3
W0189.B3.DIW.01,3
W0190.B3.DIW.01,3
W0190.B3.DIW.03,3
W0190.B3.DIW.04,3
W0191.B3.DIW.01,3
W0191.B3.DIW.03,3
W0192.B3.DIW.01,3
W0196.B3.DIW.01,3
W0197.B3.DIW.01,3
W0198.B3.DIW.01,3
W0199.B3.DIW.01,3
W0200.B3.DIW.01,3
W0201.B3.DIW.01,3
W0202.B3.DIW.01,3
W0207.B3.DIW.01,3
W0207.B3.DIW.02,3
W0208.B3.DIW.01,3
W0208.B3.DIW.02,3
W0209.B3.DIW.01,3
W0209.B3.DIW.02,3
W0210.B3.DIW.01,3
W0210.B3.DIW.02,3
W0211.B3.DIW.01,3
W0211.B3.DIW.02,3
W0214.B3.DIW.01,3
W0215.B3.DIW.01,3
W0220.B3.DIW.02,3
W0220.B3.DIW.03,3
W0220.B3.DIW.04,3
W0220.B3.DIW.06,3
W0220.B3.DIW.07,3
W0220.B3.DIW.09,3
W0220.B3.DIW.11,3
W0220.B3.DIW.12,3
W0221.B3.DIW.01,3
W0221.B3.DIW.02,3
W0221.B3.DIW.04,3
W0221.B3.DIW.06,3
W0221.B3.DIW.07,3
W0222.B3.DIW.01,3
W0222.B3.DIW.02,3
W0222.B3.DIW.03,3
W0222.B3.DIW.07,3
W0222.B3.DIW.08,3
W0222.B3.DIW.09,3
W0222.B3.DIW.10,3
W0222.B3.DIW.14,3
W0222.B3.DIW.12,3
W0223.B3.DIW.01,3
W0223.B3.DIW.02,3
W0223.B3.DIW.03,3
W0223.B3.DIW.04,3
W0224.B3.DIW.01,3
W0224.B3.DIW.02,3
W0224.B3.DIW.03,3
W0224.B3.DIW.04,3
W0225.B3.DIW.01,3
W0225.B3.DIW.02,3
W0225.B3.DIW.04,3
W0225.B3.DIW.05,3
W0228.B3.DIW.02,3
W0228.B3.DIW.04,3
W0228.B3.DIW.05,3
W0228.B3.DIW.06,3
W0229.B3.DIW.02,3
W0229.B3.DIW.06,3
W0229.B3.DIW.07,3
W0230.B3.DIW.01,3
W0230.B3.DIW.02,3
W0231.B3.DIW.01,3
W0231.B3.DIW.02,3
W0231.B3.DIW.04,3
W0231.B3.DIW.05,3
W0234.B3.DIW.03,3
W0234.B3.DIW.04,3
W0234.B3.DIW.06,3
W0235.B3.DIW.01,3
W0237.B3.DIW.01,3
W0238.B3.DIW.01,3
W0239.B3.DIW.01,3
W0240.B3.DIW.01,3
W0241.B3.DIW.03,3
W0242.B3.DIW.02,3
W0243.B3.DIW.01,3
W0246.B3.DIW.01,3
W0248.B3.DIW.01,3
W0249.B3.DIW.01,3
W0256.B3.DIW.01,3
W0258.B3.DIW.01,3
W0262.B3.DIW.02,3
W0267.B3.DIW.02,3
W0269.B3.DIW.01,3
W0271.B3.DIW.01,3
W0272.B3.DIW.01,3
W0273.B3.DIW.01,3
W0276.B3.DIW.01,3
W0278.B3.DIW.01,3
W0285.B3.DIW.01,3
W0286.B3.DIW.01,3
W0288.B3.DIW.01,3
W0288.B3.DIW.02,3
W0291.B3.DIW.01,3
W0292.B3.DIW.02,3
W0293.B3.DIW.01,3
W0294.B3.DIW.01,3
W0294.B3.DIW.02,3
W0294.B3.DIW.03,3
W0295.B3.DIW.01,3
W0299.B3.DIW.01,3
W0302.B3.DIW.01,3
W0305.B3.DIW.01,3
W0306.B3.DIW.01,3
W0311.B3.DIW.01,3
W0314.B3.DIW.01,3
W0317.B3.DIW.01,3
W0318.B3.DIW.02,3
W0320.B3.DIW.02,3
W0320.B3.DIW.03,3
W0320.B3.DIW.07,3
W0322.B3.DIW.01,3
W0329.B3.DIW.01,3
W0331.B3.DIW.01,3
W0332.B3.DIW.01,3
W0335.B3.DIW.01,3
W0340.B3.DIW.02,3
W0340.B3.DIW.06,3
W0341.B3.DIW.01,3
W0343.B3.DIW.01,3
W0344.B3.DIW.01,3
W0345.B3.DIW.01,3
W0346.B3.DIW.01,3
W0346.B3.DIW.02,3
W0347.B3.DIW.01,3
W0349.B3.DIW.01,3
W0352.B3.DIW.01,3
W0353.B3.DIW.01,3
W0355.B3.DIW.01,3
W0356.B3.DIW.01,3
W0360.B3.DIW.01,3
W0361.B3.DIW.01,3
W0362.B3.DIW.01,3
W0364.B3.DIW.01,3
W0365.B3.DIW.01,3
W0367.B3.DIW.01,3
W0369.B3.DIW.01,3
W0377.B3.DIW.01,3
W0381.B3.DIW.01,3
W0382.B3.DIW.01,3
W0387.B3.DIW.01,3
W0399.B3.DIW.01,3
W0401.B3.DIW.01,3
W0402.B3.DIW.01,3
W0404.B3.DIW.01,3
W0406.B3.DIW.01,3
W0407.B3.DIW.01,3
W0408.B3.DIW.02,3
W0410.B3.DIW.01,3
W0411.B3.DIW.01,3
W0412.B3.DIW.01,3
W0413.B3.DIW.01,3
W0414.B3.DIW.01,3
W0415.B3.DIW.01,3
W0416.B3.DIW.01,3
W0417.B3.DIW.01,3
W0418.B3.DIW.01,3
W0419.B3.DIW.01,3
W0421.B3.DIW.01,3
W0423.B3.DIW.01,3
W0425.B3.DIW.01,3
W0426.B3.DIW.01,3
W0427.B3.DIW.01,3
W0428.B3.DIW.01,3
W0429.B3.DIW.01,3
W0432.B3.DIW.01,3
W0433.B3.DIW.01,3
W0434.B3.DIW.01,3
W0435.B3.DIW.01,3
W0437.B3.DIW.01,3
W0439.B3.DIW.01,3
W0442.B3.DIW.01,3
W0446.B3.DIW.01,3
W0447.B3.DIW.01,3
W0448.B3.DIW.01,3
W0449.B3.DIW.01,3
W0450.B3.DIW.01,3
W0450.B3.DIW.02,3
W0453.B3.DIW.01,3
W0459.B3.DIW.01,3
W0459.B3.DIW.03,3
W0461.B3.DIW.01,3
W0461.B3.DIW.02,3
W0461.B3.DIW.03,3
W0462.B3.DIW.01,3
W0463.B3.DIW.01,3
W0464.B3.DIW.02,3
W0465.B3.DIW.01,3
W0466.B3.DIW.01,3
W0467.B3.DIW.01,3
W0468.B3.DIW.01,3
W0469.B3.DIW.01,3
W0470.B3.DIW.01,3
W0471.B3.DIW.01,3
W0474.B3.DIW.01,3
W0475.B3.DIW.01,3
W0477.B3.DIW.01,3
W0479.B3.DIW.01,3
W0482.B3.DIW.01,3
W0482.B3.DIW.02,3
W0482.B3.DIW.03,3
W0482.B3.DIW.04,3
W0484.B3.DIW.01,3
W0484.B3.DIW.02,3
W0484.B3.DIW.03,3
